Symptom,Prompt Template,Follow-Up Questions,LikelyDiagnosis,Urgency Level,Treatment,TreatmentQuestion
symptom_138,What details can you share about symptom_138 in a {child_age} year old {gender} child?,How long has the symptom_138 been present?; Has it worsened recently?,Diagnosis_138_A; Diagnosis_138_B,medium,"Standard care for symptom_138 includes hydration, rest, and observation.","What are the best treatment options for a child presenting with symptom_138, likely diagnosed with Diagnosis_138_A?"
symptom_139,What details can you share about symptom_139 in a {child_age} year old {gender} child?,How long has the symptom_139 been present?; Has it worsened recently?,Diagnosis_139_A; Diagnosis_139_B,medium,"Standard care for symptom_139 includes hydration, rest, and observation.","What are the best treatment options for a child presenting with symptom_139, likely diagnosed with Diagnosis_139_A?"
symptom_140,What details can you share about symptom_140 in a {child_age} year old {gender} child?,How long has the symptom_140 been present?; Has it worsened recently?,Diagnosis_140_A; Diagnosis_140_B,medium,"Standard care for symptom_140 includes hydration, rest, and observation.","What are the best treatment options for a child presenting with symptom_140, likely diagnosed with Diagnosis_140_A?"
symptom_141,What details can you share about symptom_141 in a {child_age} year old {gender} child?,How long has the symptom_141 been present?; Has it worsened recently?,Diagnosis_141_A; Diagnosis_141_B,medium,"Standard care for symptom_141 includes hydration, rest, and observation.","What are the best treatment options for a child presenting with symptom_141, likely diagnosed with Diagnosis_141_A?"
symptom_142,What details can you share about symptom_142 in a {child_age} year old {gender} child?,How long has the symptom_142 been present?; Has it worsened recently?,Diagnosis_142_A; Diagnosis_142_B,medium,"Standard care for symptom_142 includes hydration, rest, and observation.","What are the best treatment options for a child presenting with symptom_142, likely diagnosed with Diagnosis_142_A?"
symptom_143,What details can you share about symptom_143 in a {child_age} year old {gender} child?,How long has the symptom_143 been present?; Has it worsened recently?,Diagnosis_143_A; Diagnosis_143_B,medium,"Standard care for symptom_143 includes hydration, rest, and observation.","What are the best treatment options for a child presenting with symptom_143, likely diagnosed with Diagnosis_143_A?"
symptom_144,What details can you share about symptom_144 in a {child_age} year old {gender} child?,How long has the symptom_144 been present?; Has it worsened recently?,Diagnosis_144_A; Diagnosis_144_B,medium,"Standard care for symptom_144 includes hydration, rest, and observation.","What are the best treatment options for a child presenting with symptom_144, likely diagnosed with Diagnosis_144_A?"
symptom_145,What details can you share about symptom_145 in a {child_age} year old {gender} child?,How long has the symptom_145 been present?; Has it worsened recently?,Diagnosis_145_A; Diagnosis_145_B,medium,"Standard care for symptom_145 includes hydration, rest, and observation.","What are the best treatment options for a child presenting with symptom_145, likely diagnosed with Diagnosis_145_A?"
symptom_146,What details can you share about symptom_146 in a {child_age} year old {gender} child?,How long has the symptom_146 been present?; Has it worsened recently?,Diagnosis_146_A; Diagnosis_146_B,medium,"Standard care for symptom_146 includes hydration, rest, and observation.","What are the best treatment options for a child presenting with symptom_146, likely diagnosed with Diagnosis_146_A?"
symptom_147,What details can you share about symptom_147 in a {child_age} year old {gender} child?,How long has the symptom_147 been present?; Has it worsened recently?,Diagnosis_147_A; Diagnosis_147_B,medium,"Standard care for symptom_147 includes hydration, rest, and observation.","What are the best treatment options for a child presenting with symptom_147, likely diagnosed with Diagnosis_147_A?"
symptom_148,What details can you share about symptom_148 in a {child_age} year old {gender} child?,How long has the symptom_148 been present?; Has it worsened recently?,Diagnosis_148_A; Diagnosis_148_B,medium,"Standard care for symptom_148 includes hydration, rest, and observation.","What are the best treatment options for a child presenting with symptom_148, likely diagnosed with Diagnosis_148_A?"
symptom_149,What details can you share about symptom_149 in a {child_age} year old {gender} child?,How long has the symptom_149 been present?; Has it worsened recently?,Diagnosis_149_A; Diagnosis_149_B,medium,"Standard care for symptom_149 includes hydration, rest, and observation.","What are the best treatment options for a child presenting with symptom_149, likely diagnosed with Diagnosis_149_A?"
symptom_150,What details can you share about symptom_150 in a {child_age} year old {gender} child?,How long has the symptom_150 been present?; Has it worsened recently?,Diagnosis_150_A; Diagnosis_150_B,medium,"Standard care for symptom_150 includes hydration, rest, and observation.","What are the best treatment options for a child presenting with symptom_150, likely diagnosed with Diagnosis_150_A?"
symptom_151,What details can you share about symptom_151 in a {child_age} year old {gender} child?,How long has the symptom_151 been present?; Has it worsened recently?,Diagnosis_151_A; Diagnosis_151_B,medium,"Standard care for symptom_151 includes hydration, rest, and observation.","What are the best treatment options for a child presenting with symptom_151, likely diagnosed with Diagnosis_151_A?"
symptom_152,What details can you share about symptom_152 in a {child_age} year old {gender} child?,How long has the symptom_152 been present?; Has it worsened recently?,Diagnosis_152_A; Diagnosis_152_B,medium,"Standard care for symptom_152 includes hydration, rest, and observation.","What are the best treatment options for a child presenting with symptom_152, likely diagnosed with Diagnosis_152_A?"
symptom_153,What details can you share about symptom_153 in a {child_age} year old {gender} child?,How long has the symptom_153 been present?; Has it worsened recently?,Diagnosis_153_A; Diagnosis_153_B,medium,"Standard care for symptom_153 includes hydration, rest, and observation.","What are the best treatment options for a child presenting with symptom_153, likely diagnosed with Diagnosis_153_A?"
symptom_154,What details can you share about symptom_154 in a {child_age} year old {gender} child?,How long has the symptom_154 been present?; Has it worsened recently?,Diagnosis_154_A; Diagnosis_154_B,medium,"Standard care for symptom_154 includes hydration, rest, and observation.","What are the best treatment options for a child presenting with symptom_154, likely diagnosed with Diagnosis_154_A?"
symptom_155,What details can you share about symptom_155 in a {child_age} year old {gender} child?,How long has the symptom_155 been present?; Has it worsened recently?,Diagnosis_155_A; Diagnosis_155_B,medium,"Standard care for symptom_155 includes hydration, rest, and observation.","What are the best treatment options for a child presenting with symptom_155, likely diagnosed with Diagnosis_155_A?"
symptom_156,What details can you share about symptom_156 in a {child_age} year old {gender} child?,How long has the symptom_156 been present?; Has it worsened recently?,Diagnosis_156_A; Diagnosis_156_B,medium,"Standard care for symptom_156 includes hydration, rest, and observation.","What are the best treatment options for a child presenting with symptom_156, likely diagnosed with Diagnosis_156_A?"
symptom_157,What details can you share about symptom_157 in a {child_age} year old {gender} child?,How long has the symptom_157 been present?; Has it worsened recently?,Diagnosis_157_A; Diagnosis_157_B,medium,"Standard care for symptom_157 includes hydration, rest, and observation.","What are the best treatment options for a child presenting with symptom_157, likely diagnosed with Diagnosis_157_A?"
symptom_158,What details can you share about symptom_158 in a {child_age} year old {gender} child?,How long has the symptom_158 been present?; Has it worsened recently?,Diagnosis_158_A; Diagnosis_158_B,medium,"Standard care for symptom_158 includes hydration, rest, and observation.","What are the best treatment options for a child presenting with symptom_158, likely diagnosed with Diagnosis_158_A?"
symptom_159,What details can you share about symptom_159 in a {child_age} year old {gender} child?,How long has the symptom_159 been present?; Has it worsened recently?,Diagnosis_159_A; Diagnosis_159_B,medium,"Standard care for symptom_159 includes hydration, rest, and observation.","What are the best treatment options for a child presenting with symptom_159, likely diagnosed with Diagnosis_159_A?"
symptom_160,What details can you share about symptom_160 in a {child_age} year old {gender} child?,How long has the symptom_160 been present?; Has it worsened recently?,Diagnosis_160_A; Diagnosis_160_B,medium,"Standard care for symptom_160 includes hydration, rest, and observation.","What are the best treatment options for a child presenting with symptom_160, likely diagnosed with Diagnosis_160_A?"
symptom_161,What details can you share about symptom_161 in a {child_age} year old {gender} child?,How long has the symptom_161 been present?; Has it worsened recently?,Diagnosis_161_A; Diagnosis_161_B,medium,"Standard care for symptom_161 includes hydration, rest, and observation.","What are the best treatment options for a child presenting with symptom_161, likely diagnosed with Diagnosis_161_A?"
symptom_162,What details can you share about symptom_162 in a {child_age} year old {gender} child?,How long has the symptom_162 been present?; Has it worsened recently?,Diagnosis_162_A; Diagnosis_162_B,medium,"Standard care for symptom_162 includes hydration, rest, and observation.","What are the best treatment options for a child presenting with symptom_162, likely diagnosed with Diagnosis_162_A?"
symptom_163,What details can you share about symptom_163 in a {child_age} year old {gender} child?,How long has the symptom_163 been present?; Has it worsened recently?,Diagnosis_163_A; Diagnosis_163_B,medium,"Standard care for symptom_163 includes hydration, rest, and observation.","What are the best treatment options for a child presenting with symptom_163, likely diagnosed with Diagnosis_163_A?"
symptom_164,What details can you share about symptom_164 in a {child_age} year old {gender} child?,How long has the symptom_164 been present?; Has it worsened recently?,Diagnosis_164_A; Diagnosis_164_B,medium,"Standard care for symptom_164 includes hydration, rest, and observation.","What are the best treatment options for a child presenting with symptom_164, likely diagnosed with Diagnosis_164_A?"
symptom_165,What details can you share about symptom_165 in a {child_age} year old {gender} child?,How long has the symptom_165 been present?; Has it worsened recently?,Diagnosis_165_A; Diagnosis_165_B,medium,"Standard care for symptom_165 includes hydration, rest, and observation.","What are the best treatment options for a child presenting with symptom_165, likely diagnosed with Diagnosis_165_A?"
symptom_166,What details can you share about symptom_166 in a {child_age} year old {gender} child?,How long has the symptom_166 been present?; Has it worsened recently?,Diagnosis_166_A; Diagnosis_166_B,medium,"Standard care for symptom_166 includes hydration, rest, and observation.","What are the best treatment options for a child presenting with symptom_166, likely diagnosed with Diagnosis_166_A?"
symptom_167,What details can you share about symptom_167 in a {child_age} year old {gender} child?,How long has the symptom_167 been present?; Has it worsened recently?,Diagnosis_167_A; Diagnosis_167_B,medium,"Standard care for symptom_167 includes hydration, rest, and observation.","What are the best treatment options for a child presenting with symptom_167, likely diagnosed with Diagnosis_167_A?"
symptom_168,What details can you share about symptom_168 in a {child_age} year old {gender} child?,How long has the symptom_168 been present?; Has it worsened recently?,Diagnosis_168_A; Diagnosis_168_B,medium,"Standard care for symptom_168 includes hydration, rest, and observation.","What are the best treatment options for a child presenting with symptom_168, likely diagnosed with Diagnosis_168_A?"
symptom_169,What details can you share about symptom_169 in a {child_age} year old {gender} child?,How long has the symptom_169 been present?; Has it worsened recently?,Diagnosis_169_A; Diagnosis_169_B,medium,"Standard care for symptom_169 includes hydration, rest, and observation.","What are the best treatment options for a child presenting with symptom_169, likely diagnosed with Diagnosis_169_A?"
symptom_170,What details can you share about symptom_170 in a {child_age} year old {gender} child?,How long has the symptom_170 been present?; Has it worsened recently?,Diagnosis_170_A; Diagnosis_170_B,medium,"Standard care for symptom_170 includes hydration, rest, and observation.","What are the best treatment options for a child presenting with symptom_170, likely diagnosed with Diagnosis_170_A?"
symptom_171,What details can you share about symptom_171 in a {child_age} year old {gender} child?,How long has the symptom_171 been present?; Has it worsened recently?,Diagnosis_171_A; Diagnosis_171_B,medium,"Standard care for symptom_171 includes hydration, rest, and observation.","What are the best treatment options for a child presenting with symptom_171, likely diagnosed with Diagnosis_171_A?"
symptom_172,What details can you share about symptom_172 in a {child_age} year old {gender} child?,How long has the symptom_172 been present?; Has it worsened recently?,Diagnosis_172_A; Diagnosis_172_B,medium,"Standard care for symptom_172 includes hydration, rest, and observation.","What are the best treatment options for a child presenting with symptom_172, likely diagnosed with Diagnosis_172_A?"
symptom_173,What details can you share about symptom_173 in a {child_age} year old {gender} child?,How long has the symptom_173 been present?; Has it worsened recently?,Diagnosis_173_A; Diagnosis_173_B,medium,"Standard care for symptom_173 includes hydration, rest, and observation.","What are the best treatment options for a child presenting with symptom_173, likely diagnosed with Diagnosis_173_A?"
symptom_174,What details can you share about symptom_174 in a {child_age} year old {gender} child?,How long has the symptom_174 been present?; Has it worsened recently?,Diagnosis_174_A; Diagnosis_174_B,medium,"Standard care for symptom_174 includes hydration, rest, and observation.","What are the best treatment options for a child presenting with symptom_174, likely diagnosed with Diagnosis_174_A?"
symptom_175,What details can you share about symptom_175 in a {child_age} year old {gender} child?,How long has the symptom_175 been present?; Has it worsened recently?,Diagnosis_175_A; Diagnosis_175_B,medium,"Standard care for symptom_175 includes hydration, rest, and observation.","What are the best treatment options for a child presenting with symptom_175, likely diagnosed with Diagnosis_175_A?"
symptom_176,What details can you share about symptom_176 in a {child_age} year old {gender} child?,How long has the symptom_176 been present?; Has it worsened recently?,Diagnosis_176_A; Diagnosis_176_B,medium,"Standard care for symptom_176 includes hydration, rest, and observation.","What are the best treatment options for a child presenting with symptom_176, likely diagnosed with Diagnosis_176_A?"
symptom_177,What details can you share about symptom_177 in a {child_age} year old {gender} child?,How long has the symptom_177 been present?; Has it worsened recently?,Diagnosis_177_A; Diagnosis_177_B,medium,"Standard care for symptom_177 includes hydration, rest, and observation.","What are the best treatment options for a child presenting with symptom_177, likely diagnosed with Diagnosis_177_A?"
symptom_178,What details can you share about symptom_178 in a {child_age} year old {gender} child?,How long has the symptom_178 been present?; Has it worsened recently?,Diagnosis_178_A; Diagnosis_178_B,medium,"Standard care for symptom_178 includes hydration, rest, and observation.","What are the best treatment options for a child presenting with symptom_178, likely diagnosed with Diagnosis_178_A?"
symptom_179,What details can you share about symptom_179 in a {child_age} year old {gender} child?,How long has the symptom_179 been present?; Has it worsened recently?,Diagnosis_179_A; Diagnosis_179_B,medium,"Standard care for symptom_179 includes hydration, rest, and observation.","What are the best treatment options for a child presenting with symptom_179, likely diagnosed with Diagnosis_179_A?"
symptom_180,What details can you share about symptom_180 in a {child_age} year old {gender} child?,How long has the symptom_180 been present?; Has it worsened recently?,Diagnosis_180_A; Diagnosis_180_B,medium,"Standard care for symptom_180 includes hydration, rest, and observation.","What are the best treatment options for a child presenting with symptom_180, likely diagnosed with Diagnosis_180_A?"
symptom_181,What details can you share about symptom_181 in a {child_age} year old {gender} child?,How long has the symptom_181 been present?; Has it worsened recently?,Diagnosis_181_A; Diagnosis_181_B,medium,"Standard care for symptom_181 includes hydration, rest, and observation.","What are the best treatment options for a child presenting with symptom_181, likely diagnosed with Diagnosis_181_A?"
symptom_182,What details can you share about symptom_182 in a {child_age} year old {gender} child?,How long has the symptom_182 been present?; Has it worsened recently?,Diagnosis_182_A; Diagnosis_182_B,medium,"Standard care for symptom_182 includes hydration, rest, and observation.","What are the best treatment options for a child presenting with symptom_182, likely diagnosed with Diagnosis_182_A?"
symptom_183,What details can you share about symptom_183 in a {child_age} year old {gender} child?,How long has the symptom_183 been present?; Has it worsened recently?,Diagnosis_183_A; Diagnosis_183_B,medium,"Standard care for symptom_183 includes hydration, rest, and observation.","What are the best treatment options for a child presenting with symptom_183, likely diagnosed with Diagnosis_183_A?"
symptom_184,What details can you share about symptom_184 in a {child_age} year old {gender} child?,How long has the symptom_184 been present?; Has it worsened recently?,Diagnosis_184_A; Diagnosis_184_B,medium,"Standard care for symptom_184 includes hydration, rest, and observation.","What are the best treatment options for a child presenting with symptom_184, likely diagnosed with Diagnosis_184_A?"
symptom_185,What details can you share about symptom_185 in a {child_age} year old {gender} child?,How long has the symptom_185 been present?; Has it worsened recently?,Diagnosis_185_A; Diagnosis_185_B,medium,"Standard care for symptom_185 includes hydration, rest, and observation.","What are the best treatment options for a child presenting with symptom_185, likely diagnosed with Diagnosis_185_A?"
symptom_186,What details can you share about symptom_186 in a {child_age} year old {gender} child?,How long has the symptom_186 been present?; Has it worsened recently?,Diagnosis_186_A; Diagnosis_186_B,medium,"Standard care for symptom_186 includes hydration, rest, and observation.","What are the best treatment options for a child presenting with symptom_186, likely diagnosed with Diagnosis_186_A?"
symptom_187,What details can you share about symptom_187 in a {child_age} year old {gender} child?,How long has the symptom_187 been present?; Has it worsened recently?,Diagnosis_187_A; Diagnosis_187_B,medium,"Standard care for symptom_187 includes hydration, rest, and observation.","What are the best treatment options for a child presenting with symptom_187, likely diagnosed with Diagnosis_187_A?"
symptom_188,What details can you share about symptom_188 in a {child_age} year old {gender} child?,How long has the symptom_188 been present?; Has it worsened recently?,Diagnosis_188_A; Diagnosis_188_B,medium,"Standard care for symptom_188 includes hydration, rest, and observation.","What are the best treatment options for a child presenting with symptom_188, likely diagnosed with Diagnosis_188_A?"
symptom_189,What details can you share about symptom_189 in a {child_age} year old {gender} child?,How long has the symptom_189 been present?; Has it worsened recently?,Diagnosis_189_A; Diagnosis_189_B,medium,"Standard care for symptom_189 includes hydration, rest, and observation.","What are the best treatment options for a child presenting with symptom_189, likely diagnosed with Diagnosis_189_A?"
symptom_190,What details can you share about symptom_190 in a {child_age} year old {gender} child?,How long has the symptom_190 been present?; Has it worsened recently?,Diagnosis_190_A; Diagnosis_190_B,medium,"Standard care for symptom_190 includes hydration, rest, and observation.","What are the best treatment options for a child presenting with symptom_190, likely diagnosed with Diagnosis_190_A?"
symptom_191,What details can you share about symptom_191 in a {child_age} year old {gender} child?,How long has the symptom_191 been present?; Has it worsened recently?,Diagnosis_191_A; Diagnosis_191_B,medium,"Standard care for symptom_191 includes hydration, rest, and observation.","What are the best treatment options for a child presenting with symptom_191, likely diagnosed with Diagnosis_191_A?"
symptom_192,What details can you share about symptom_192 in a {child_age} year old {gender} child?,How long has the symptom_192 been present?; Has it worsened recently?,Diagnosis_192_A; Diagnosis_192_B,medium,"Standard care for symptom_192 includes hydration, rest, and observation.","What are the best treatment options for a child presenting with symptom_192, likely diagnosed with Diagnosis_192_A?"
symptom_193,What details can you share about symptom_193 in a {child_age} year old {gender} child?,How long has the symptom_193 been present?; Has it worsened recently?,Diagnosis_193_A; Diagnosis_193_B,medium,"Standard care for symptom_193 includes hydration, rest, and observation.","What are the best treatment options for a child presenting with symptom_193, likely diagnosed with Diagnosis_193_A?"
symptom_194,What details can you share about symptom_194 in a {child_age} year old {gender} child?,How long has the symptom_194 been present?; Has it worsened recently?,Diagnosis_194_A; Diagnosis_194_B,medium,"Standard care for symptom_194 includes hydration, rest, and observation.","What are the best treatment options for a child presenting with symptom_194, likely diagnosed with Diagnosis_194_A?"
symptom_195,What details can you share about symptom_195 in a {child_age} year old {gender} child?,How long has the symptom_195 been present?; Has it worsened recently?,Diagnosis_195_A; Diagnosis_195_B,medium,"Standard care for symptom_195 includes hydration, rest, and observation.","What are the best treatment options for a child presenting with symptom_195, likely diagnosed with Diagnosis_195_A?"
symptom_196,What details can you share about symptom_196 in a {child_age} year old {gender} child?,How long has the symptom_196 been present?; Has it worsened recently?,Diagnosis_196_A; Diagnosis_196_B,medium,"Standard care for symptom_196 includes hydration, rest, and observation.","What are the best treatment options for a child presenting with symptom_196, likely diagnosed with Diagnosis_196_A?"
symptom_197,What details can you share about symptom_197 in a {child_age} year old {gender} child?,How long has the symptom_197 been present?; Has it worsened recently?,Diagnosis_197_A; Diagnosis_197_B,medium,"Standard care for symptom_197 includes hydration, rest, and observation.","What are the best treatment options for a child presenting with symptom_197, likely diagnosed with Diagnosis_197_A?"
symptom_198,What details can you share about symptom_198 in a {child_age} year old {gender} child?,How long has the symptom_198 been present?; Has it worsened recently?,Diagnosis_198_A; Diagnosis_198_B,medium,"Standard care for symptom_198 includes hydration, rest, and observation.","What are the best treatment options for a child presenting with symptom_198, likely diagnosed with Diagnosis_198_A?"
symptom_199,What details can you share about symptom_199 in a {child_age} year old {gender} child?,How long has the symptom_199 been present?; Has it worsened recently?,Diagnosis_199_A; Diagnosis_199_B,medium,"Standard care for symptom_199 includes hydration, rest, and observation.","What are the best treatment options for a child presenting with symptom_199, likely diagnosed with Diagnosis_199_A?"
symptom_200,What details can you share about symptom_200 in a {child_age} year old {gender} child?,How long has the symptom_200 been present?; Has it worsened recently?,Diagnosis_200_A; Diagnosis_200_B,medium,"Standard care for symptom_200 includes hydration, rest, and observation.","What are the best treatment options for a child presenting with symptom_200, likely diagnosed with Diagnosis_200_A?"
symptom_201,What details can you share about symptom_201 in a {child_age} year old {gender} child?,How long has the symptom_201 been present?; Has it worsened recently?,Diagnosis_201_A; Diagnosis_201_B,medium,"Standard care for symptom_201 includes hydration, rest, and observation.","What are the best treatment options for a child presenting with symptom_201, likely diagnosed with Diagnosis_201_A?"
symptom_202,What details can you share about symptom_202 in a {child_age} year old {gender} child?,How long has the symptom_202 been present?; Has it worsened recently?,Diagnosis_202_A; Diagnosis_202_B,medium,"Standard care for symptom_202 includes hydration, rest, and observation.","What are the best treatment options for a child presenting with symptom_202, likely diagnosed with Diagnosis_202_A?"
symptom_203,What details can you share about symptom_203 in a {child_age} year old {gender} child?,How long has the symptom_203 been present?; Has it worsened recently?,Diagnosis_203_A; Diagnosis_203_B,medium,"Standard care for symptom_203 includes hydration, rest, and observation.","What are the best treatment options for a child presenting with symptom_203, likely diagnosed with Diagnosis_203_A?"
symptom_204,What details can you share about symptom_204 in a {child_age} year old {gender} child?,How long has the symptom_204 been present?; Has it worsened recently?,Diagnosis_204_A; Diagnosis_204_B,medium,"Standard care for symptom_204 includes hydration, rest, and observation.","What are the best treatment options for a child presenting with symptom_204, likely diagnosed with Diagnosis_204_A?"
symptom_205,What details can you share about symptom_205 in a {child_age} year old {gender} child?,How long has the symptom_205 been present?; Has it worsened recently?,Diagnosis_205_A; Diagnosis_205_B,medium,"Standard care for symptom_205 includes hydration, rest, and observation.","What are the best treatment options for a child presenting with symptom_205, likely diagnosed with Diagnosis_205_A?"
symptom_206,What details can you share about symptom_206 in a {child_age} year old {gender} child?,How long has the symptom_206 been present?; Has it worsened recently?,Diagnosis_206_A; Diagnosis_206_B,medium,"Standard care for symptom_206 includes hydration, rest, and observation.","What are the best treatment options for a child presenting with symptom_206, likely diagnosed with Diagnosis_206_A?"
symptom_207,What details can you share about symptom_207 in a {child_age} year old {gender} child?,How long has the symptom_207 been present?; Has it worsened recently?,Diagnosis_207_A; Diagnosis_207_B,medium,"Standard care for symptom_207 includes hydration, rest, and observation.","What are the best treatment options for a child presenting with symptom_207, likely diagnosed with Diagnosis_207_A?"
symptom_208,What details can you share about symptom_208 in a {child_age} year old {gender} child?,How long has the symptom_208 been present?; Has it worsened recently?,Diagnosis_208_A; Diagnosis_208_B,medium,"Standard care for symptom_208 includes hydration, rest, and observation.","What are the best treatment options for a child presenting with symptom_208, likely diagnosed with Diagnosis_208_A?"
symptom_209,What details can you share about symptom_209 in a {child_age} year old {gender} child?,How long has the symptom_209 been present?; Has it worsened recently?,Diagnosis_209_A; Diagnosis_209_B,medium,"Standard care for symptom_209 includes hydration, rest, and observation.","What are the best treatment options for a child presenting with symptom_209, likely diagnosed with Diagnosis_209_A?"
symptom_210,What details can you share about symptom_210 in a {child_age} year old {gender} child?,How long has the symptom_210 been present?; Has it worsened recently?,Diagnosis_210_A; Diagnosis_210_B,medium,"Standard care for symptom_210 includes hydration, rest, and observation.","What are the best treatment options for a child presenting with symptom_210, likely diagnosed with Diagnosis_210_A?"
symptom_211,What details can you share about symptom_211 in a {child_age} year old {gender} child?,How long has the symptom_211 been present?; Has it worsened recently?,Diagnosis_211_A; Diagnosis_211_B,medium,"Standard care for symptom_211 includes hydration, rest, and observation.","What are the best treatment options for a child presenting with symptom_211, likely diagnosed with Diagnosis_211_A?"
symptom_212,What details can you share about symptom_212 in a {child_age} year old {gender} child?,How long has the symptom_212 been present?; Has it worsened recently?,Diagnosis_212_A; Diagnosis_212_B,medium,"Standard care for symptom_212 includes hydration, rest, and observation.","What are the best treatment options for a child presenting with symptom_212, likely diagnosed with Diagnosis_212_A?"
symptom_213,What details can you share about symptom_213 in a {child_age} year old {gender} child?,How long has the symptom_213 been present?; Has it worsened recently?,Diagnosis_213_A; Diagnosis_213_B,medium,"Standard care for symptom_213 includes hydration, rest, and observation.","What are the best treatment options for a child presenting with symptom_213, likely diagnosed with Diagnosis_213_A?"
symptom_214,What details can you share about symptom_214 in a {child_age} year old {gender} child?,How long has the symptom_214 been present?; Has it worsened recently?,Diagnosis_214_A; Diagnosis_214_B,medium,"Standard care for symptom_214 includes hydration, rest, and observation.","What are the best treatment options for a child presenting with symptom_214, likely diagnosed with Diagnosis_214_A?"
symptom_215,What details can you share about symptom_215 in a {child_age} year old {gender} child?,How long has the symptom_215 been present?; Has it worsened recently?,Diagnosis_215_A; Diagnosis_215_B,medium,"Standard care for symptom_215 includes hydration, rest, and observation.","What are the best treatment options for a child presenting with symptom_215, likely diagnosed with Diagnosis_215_A?"
symptom_216,What details can you share about symptom_216 in a {child_age} year old {gender} child?,How long has the symptom_216 been present?; Has it worsened recently?,Diagnosis_216_A; Diagnosis_216_B,medium,"Standard care for symptom_216 includes hydration, rest, and observation.","What are the best treatment options for a child presenting with symptom_216, likely diagnosed with Diagnosis_216_A?"
symptom_217,What details can you share about symptom_217 in a {child_age} year old {gender} child?,How long has the symptom_217 been present?; Has it worsened recently?,Diagnosis_217_A; Diagnosis_217_B,medium,"Standard care for symptom_217 includes hydration, rest, and observation.","What are the best treatment options for a child presenting with symptom_217, likely diagnosed with Diagnosis_217_A?"
symptom_218,What details can you share about symptom_218 in a {child_age} year old {gender} child?,How long has the symptom_218 been present?; Has it worsened recently?,Diagnosis_218_A; Diagnosis_218_B,medium,"Standard care for symptom_218 includes hydration, rest, and observation.","What are the best treatment options for a child presenting with symptom_218, likely diagnosed with Diagnosis_218_A?"
symptom_219,What details can you share about symptom_219 in a {child_age} year old {gender} child?,How long has the symptom_219 been present?; Has it worsened recently?,Diagnosis_219_A; Diagnosis_219_B,medium,"Standard care for symptom_219 includes hydration, rest, and observation.","What are the best treatment options for a child presenting with symptom_219, likely diagnosed with Diagnosis_219_A?"
symptom_220,What details can you share about symptom_220 in a {child_age} year old {gender} child?,How long has the symptom_220 been present?; Has it worsened recently?,Diagnosis_220_A; Diagnosis_220_B,medium,"Standard care for symptom_220 includes hydration, rest, and observation.","What are the best treatment options for a child presenting with symptom_220, likely diagnosed with Diagnosis_220_A?"
symptom_221,What details can you share about symptom_221 in a {child_age} year old {gender} child?,How long has the symptom_221 been present?; Has it worsened recently?,Diagnosis_221_A; Diagnosis_221_B,medium,"Standard care for symptom_221 includes hydration, rest, and observation.","What are the best treatment options for a child presenting with symptom_221, likely diagnosed with Diagnosis_221_A?"
symptom_222,What details can you share about symptom_222 in a {child_age} year old {gender} child?,How long has the symptom_222 been present?; Has it worsened recently?,Diagnosis_222_A; Diagnosis_222_B,medium,"Standard care for symptom_222 includes hydration, rest, and observation.","What are the best treatment options for a child presenting with symptom_222, likely diagnosed with Diagnosis_222_A?"
symptom_223,What details can you share about symptom_223 in a {child_age} year old {gender} child?,How long has the symptom_223 been present?; Has it worsened recently?,Diagnosis_223_A; Diagnosis_223_B,medium,"Standard care for symptom_223 includes hydration, rest, and observation.","What are the best treatment options for a child presenting with symptom_223, likely diagnosed with Diagnosis_223_A?"
symptom_224,What details can you share about symptom_224 in a {child_age} year old {gender} child?,How long has the symptom_224 been present?; Has it worsened recently?,Diagnosis_224_A; Diagnosis_224_B,medium,"Standard care for symptom_224 includes hydration, rest, and observation.","What are the best treatment options for a child presenting with symptom_224, likely diagnosed with Diagnosis_224_A?"
symptom_225,What details can you share about symptom_225 in a {child_age} year old {gender} child?,How long has the symptom_225 been present?; Has it worsened recently?,Diagnosis_225_A; Diagnosis_225_B,medium,"Standard care for symptom_225 includes hydration, rest, and observation.","What are the best treatment options for a child presenting with symptom_225, likely diagnosed with Diagnosis_225_A?"
symptom_226,What details can you share about symptom_226 in a {child_age} year old {gender} child?,How long has the symptom_226 been present?; Has it worsened recently?,Diagnosis_226_A; Diagnosis_226_B,medium,"Standard care for symptom_226 includes hydration, rest, and observation.","What are the best treatment options for a child presenting with symptom_226, likely diagnosed with Diagnosis_226_A?"
symptom_227,What details can you share about symptom_227 in a {child_age} year old {gender} child?,How long has the symptom_227 been present?; Has it worsened recently?,Diagnosis_227_A; Diagnosis_227_B,medium,"Standard care for symptom_227 includes hydration, rest, and observation.","What are the best treatment options for a child presenting with symptom_227, likely diagnosed with Diagnosis_227_A?"
symptom_228,What details can you share about symptom_228 in a {child_age} year old {gender} child?,How long has the symptom_228 been present?; Has it worsened recently?,Diagnosis_228_A; Diagnosis_228_B,medium,"Standard care for symptom_228 includes hydration, rest, and observation.","What are the best treatment options for a child presenting with symptom_228, likely diagnosed with Diagnosis_228_A?"
symptom_229,What details can you share about symptom_229 in a {child_age} year old {gender} child?,How long has the symptom_229 been present?; Has it worsened recently?,Diagnosis_229_A; Diagnosis_229_B,medium,"Standard care for symptom_229 includes hydration, rest, and observation.","What are the best treatment options for a child presenting with symptom_229, likely diagnosed with Diagnosis_229_A?"
