Symptom,Prompt Template,Follow-Up Questions,Likely Diagnosis,Urgency Level,Suggested Treatment,Treatment Questions
symptom_186,What details can you share about symptom_186 in a {child_age} year old {gender} child?,How long has the symptom_186 been present?; Has it worsened recently?,Diagnosis_186_A; Diagnosis_186_B,medium,"Standard care for symptom_186 includes hydration, rest, and observation.",What are the best treatment options for symptom_186?; When should a doctor be consulted for symptom_186?
symptom_187,What details can you share about symptom_187 in a {child_age} year old {gender} child?,How long has the symptom_187 been present?; Has it worsened recently?,Diagnosis_187_A; Diagnosis_187_B,medium,"Standard care for symptom_187 includes hydration, rest, and observation.",What are the best treatment options for symptom_187?; When should a doctor be consulted for symptom_187?
symptom_188,What details can you share about symptom_188 in a {child_age} year old {gender} child?,How long has the symptom_188 been present?; Has it worsened recently?,Diagnosis_188_A; Diagnosis_188_B,medium,"Standard care for symptom_188 includes hydration, rest, and observation.",What are the best treatment options for symptom_188?; When should a doctor be consulted for symptom_188?
symptom_189,What details can you share about symptom_189 in a {child_age} year old {gender} child?,How long has the symptom_189 been present?; Has it worsened recently?,Diagnosis_189_A; Diagnosis_189_B,medium,"Standard care for symptom_189 includes hydration, rest, and observation.",What are the best treatment options for symptom_189?; When should a doctor be consulted for symptom_189?
symptom_190,What details can you share about symptom_190 in a {child_age} year old {gender} child?,How long has the symptom_190 been present?; Has it worsened recently?,Diagnosis_190_A; Diagnosis_190_B,medium,"Standard care for symptom_190 includes hydration, rest, and observation.",What are the best treatment options for symptom_190?; When should a doctor be consulted for symptom_190?
symptom_191,What details can you share about symptom_191 in a {child_age} year old {gender} child?,How long has the symptom_191 been present?; Has it worsened recently?,Diagnosis_191_A; Diagnosis_191_B,medium,"Standard care for symptom_191 includes hydration, rest, and observation.",What are the best treatment options for symptom_191?; When should a doctor be consulted for symptom_191?
symptom_192,What details can you share about symptom_192 in a {child_age} year old {gender} child?,How long has the symptom_192 been present?; Has it worsened recently?,Diagnosis_192_A; Diagnosis_192_B,medium,"Standard care for symptom_192 includes hydration, rest, and observation.",What are the best treatment options for symptom_192?; When should a doctor be consulted for symptom_192?
symptom_193,What details can you share about symptom_193 in a {child_age} year old {gender} child?,How long has the symptom_193 been present?; Has it worsened recently?,Diagnosis_193_A; Diagnosis_193_B,medium,"Standard care for symptom_193 includes hydration, rest, and observation.",What are the best treatment options for symptom_193?; When should a doctor be consulted for symptom_193?
symptom_194,What details can you share about symptom_194 in a {child_age} year old {gender} child?,How long has the symptom_194 been present?; Has it worsened recently?,Diagnosis_194_A; Diagnosis_194_B,medium,"Standard care for symptom_194 includes hydration, rest, and observation.",What are the best treatment options for symptom_194?; When should a doctor be consulted for symptom_194?
symptom_195,What details can you share about symptom_195 in a {child_age} year old {gender} child?,How long has the symptom_195 been present?; Has it worsened recently?,Diagnosis_195_A; Diagnosis_195_B,medium,"Standard care for symptom_195 includes hydration, rest, and observation.",What are the best treatment options for symptom_195?; When should a doctor be consulted for symptom_195?
symptom_196,What details can you share about symptom_196 in a {child_age} year old {gender} child?,How long has the symptom_196 been present?; Has it worsened recently?,Diagnosis_196_A; Diagnosis_196_B,medium,"Standard care for symptom_196 includes hydration, rest, and observation.",What are the best treatment options for symptom_196?; When should a doctor be consulted for symptom_196?
symptom_197,What details can you share about symptom_197 in a {child_age} year old {gender} child?,How long has the symptom_197 been present?; Has it worsened recently?,Diagnosis_197_A; Diagnosis_197_B,medium,"Standard care for symptom_197 includes hydration, rest, and observation.",What are the best treatment options for symptom_197?; When should a doctor be consulted for symptom_197?
symptom_198,What details can you share about symptom_198 in a {child_age} year old {gender} child?,How long has the symptom_198 been present?; Has it worsened recently?,Diagnosis_198_A; Diagnosis_198_B,medium,"Standard care for symptom_198 includes hydration, rest, and observation.",What are the best treatment options for symptom_198?; When should a doctor be consulted for symptom_198?
symptom_199,What details can you share about symptom_199 in a {child_age} year old {gender} child?,How long has the symptom_199 been present?; Has it worsened recently?,Diagnosis_199_A; Diagnosis_199_B,medium,"Standard care for symptom_199 includes hydration, rest, and observation.",What are the best treatment options for symptom_199?; When should a doctor be consulted for symptom_199?
symptom_200,What details can you share about symptom_200 in a {child_age} year old {gender} child?,How long has the symptom_200 been present?; Has it worsened recently?,Diagnosis_200_A; Diagnosis_200_B,medium,"Standard care for symptom_200 includes hydration, rest, and observation.",What are the best treatment options for symptom_200?; When should a doctor be consulted for symptom_200?
symptom_201,What details can you share about symptom_201 in a {child_age} year old {gender} child?,How long has the symptom_201 been present?; Has it worsened recently?,Diagnosis_201_A; Diagnosis_201_B,medium,"Standard care for symptom_201 includes hydration, rest, and observation.",What are the best treatment options for symptom_201?; When should a doctor be consulted for symptom_201?
symptom_202,What details can you share about symptom_202 in a {child_age} year old {gender} child?,How long has the symptom_202 been present?; Has it worsened recently?,Diagnosis_202_A; Diagnosis_202_B,medium,"Standard care for symptom_202 includes hydration, rest, and observation.",What are the best treatment options for symptom_202?; When should a doctor be consulted for symptom_202?
symptom_203,What details can you share about symptom_203 in a {child_age} year old {gender} child?,How long has the symptom_203 been present?; Has it worsened recently?,Diagnosis_203_A; Diagnosis_203_B,medium,"Standard care for symptom_203 includes hydration, rest, and observation.",What are the best treatment options for symptom_203?; When should a doctor be consulted for symptom_203?
symptom_204,What details can you share about symptom_204 in a {child_age} year old {gender} child?,How long has the symptom_204 been present?; Has it worsened recently?,Diagnosis_204_A; Diagnosis_204_B,medium,"Standard care for symptom_204 includes hydration, rest, and observation.",What are the best treatment options for symptom_204?; When should a doctor be consulted for symptom_204?
symptom_205,What details can you share about symptom_205 in a {child_age} year old {gender} child?,How long has the symptom_205 been present?; Has it worsened recently?,Diagnosis_205_A; Diagnosis_205_B,medium,"Standard care for symptom_205 includes hydration, rest, and observation.",What are the best treatment options for symptom_205?; When should a doctor be consulted for symptom_205?
symptom_206,What details can you share about symptom_206 in a {child_age} year old {gender} child?,How long has the symptom_206 been present?; Has it worsened recently?,Diagnosis_206_A; Diagnosis_206_B,medium,"Standard care for symptom_206 includes hydration, rest, and observation.",What are the best treatment options for symptom_206?; When should a doctor be consulted for symptom_206?
symptom_207,What details can you share about symptom_207 in a {child_age} year old {gender} child?,How long has the symptom_207 been present?; Has it worsened recently?,Diagnosis_207_A; Diagnosis_207_B,medium,"Standard care for symptom_207 includes hydration, rest, and observation.",What are the best treatment options for symptom_207?; When should a doctor be consulted for symptom_207?
symptom_208,What details can you share about symptom_208 in a {child_age} year old {gender} child?,How long has the symptom_208 been present?; Has it worsened recently?,Diagnosis_208_A; Diagnosis_208_B,medium,"Standard care for symptom_208 includes hydration, rest, and observation.",What are the best treatment options for symptom_208?; When should a doctor be consulted for symptom_208?
symptom_209,What details can you share about symptom_209 in a {child_age} year old {gender} child?,How long has the symptom_209 been present?; Has it worsened recently?,Diagnosis_209_A; Diagnosis_209_B,medium,"Standard care for symptom_209 includes hydration, rest, and observation.",What are the best treatment options for symptom_209?; When should a doctor be consulted for symptom_209?
symptom_210,What details can you share about symptom_210 in a {child_age} year old {gender} child?,How long has the symptom_210 been present?; Has it worsened recently?,Diagnosis_210_A; Diagnosis_210_B,medium,"Standard care for symptom_210 includes hydration, rest, and observation.",What are the best treatment options for symptom_210?; When should a doctor be consulted for symptom_210?
symptom_211,What details can you share about symptom_211 in a {child_age} year old {gender} child?,How long has the symptom_211 been present?; Has it worsened recently?,Diagnosis_211_A; Diagnosis_211_B,medium,"Standard care for symptom_211 includes hydration, rest, and observation.",What are the best treatment options for symptom_211?; When should a doctor be consulted for symptom_211?
symptom_212,What details can you share about symptom_212 in a {child_age} year old {gender} child?,How long has the symptom_212 been present?; Has it worsened recently?,Diagnosis_212_A; Diagnosis_212_B,medium,"Standard care for symptom_212 includes hydration, rest, and observation.",What are the best treatment options for symptom_212?; When should a doctor be consulted for symptom_212?
symptom_213,What details can you share about symptom_213 in a {child_age} year old {gender} child?,How long has the symptom_213 been present?; Has it worsened recently?,Diagnosis_213_A; Diagnosis_213_B,medium,"Standard care for symptom_213 includes hydration, rest, and observation.",What are the best treatment options for symptom_213?; When should a doctor be consulted for symptom_213?
symptom_214,What details can you share about symptom_214 in a {child_age} year old {gender} child?,How long has the symptom_214 been present?; Has it worsened recently?,Diagnosis_214_A; Diagnosis_214_B,medium,"Standard care for symptom_214 includes hydration, rest, and observation.",What are the best treatment options for symptom_214?; When should a doctor be consulted for symptom_214?
symptom_215,What details can you share about symptom_215 in a {child_age} year old {gender} child?,How long has the symptom_215 been present?; Has it worsened recently?,Diagnosis_215_A; Diagnosis_215_B,medium,"Standard care for symptom_215 includes hydration, rest, and observation.",What are the best treatment options for symptom_215?; When should a doctor be consulted for symptom_215?
symptom_216,What details can you share about symptom_216 in a {child_age} year old {gender} child?,How long has the symptom_216 been present?; Has it worsened recently?,Diagnosis_216_A; Diagnosis_216_B,medium,"Standard care for symptom_216 includes hydration, rest, and observation.",What are the best treatment options for symptom_216?; When should a doctor be consulted for symptom_216?
symptom_217,What details can you share about symptom_217 in a {child_age} year old {gender} child?,How long has the symptom_217 been present?; Has it worsened recently?,Diagnosis_217_A; Diagnosis_217_B,medium,"Standard care for symptom_217 includes hydration, rest, and observation.",What are the best treatment options for symptom_217?; When should a doctor be consulted for symptom_217?
symptom_218,What details can you share about symptom_218 in a {child_age} year old {gender} child?,How long has the symptom_218 been present?; Has it worsened recently?,Diagnosis_218_A; Diagnosis_218_B,medium,"Standard care for symptom_218 includes hydration, rest, and observation.",What are the best treatment options for symptom_218?; When should a doctor be consulted for symptom_218?
symptom_219,What details can you share about symptom_219 in a {child_age} year old {gender} child?,How long has the symptom_219 been present?; Has it worsened recently?,Diagnosis_219_A; Diagnosis_219_B,medium,"Standard care for symptom_219 includes hydration, rest, and observation.",What are the best treatment options for symptom_219?; When should a doctor be consulted for symptom_219?
symptom_220,What details can you share about symptom_220 in a {child_age} year old {gender} child?,How long has the symptom_220 been present?; Has it worsened recently?,Diagnosis_220_A; Diagnosis_220_B,medium,"Standard care for symptom_220 includes hydration, rest, and observation.",What are the best treatment options for symptom_220?; When should a doctor be consulted for symptom_220?
symptom_221,What details can you share about symptom_221 in a {child_age} year old {gender} child?,How long has the symptom_221 been present?; Has it worsened recently?,Diagnosis_221_A; Diagnosis_221_B,medium,"Standard care for symptom_221 includes hydration, rest, and observation.",What are the best treatment options for symptom_221?; When should a doctor be consulted for symptom_221?
symptom_222,What details can you share about symptom_222 in a {child_age} year old {gender} child?,How long has the symptom_222 been present?; Has it worsened recently?,Diagnosis_222_A; Diagnosis_222_B,medium,"Standard care for symptom_222 includes hydration, rest, and observation.",What are the best treatment options for symptom_222?; When should a doctor be consulted for symptom_222?
symptom_223,What details can you share about symptom_223 in a {child_age} year old {gender} child?,How long has the symptom_223 been present?; Has it worsened recently?,Diagnosis_223_A; Diagnosis_223_B,medium,"Standard care for symptom_223 includes hydration, rest, and observation.",What are the best treatment options for symptom_223?; When should a doctor be consulted for symptom_223?
symptom_224,What details can you share about symptom_224 in a {child_age} year old {gender} child?,How long has the symptom_224 been present?; Has it worsened recently?,Diagnosis_224_A; Diagnosis_224_B,medium,"Standard care for symptom_224 includes hydration, rest, and observation.",What are the best treatment options for symptom_224?; When should a doctor be consulted for symptom_224?
symptom_225,What details can you share about symptom_225 in a {child_age} year old {gender} child?,How long has the symptom_225 been present?; Has it worsened recently?,Diagnosis_225_A; Diagnosis_225_B,medium,"Standard care for symptom_225 includes hydration, rest, and observation.",What are the best treatment options for symptom_225?; When should a doctor be consulted for symptom_225?
symptom_226,What details can you share about symptom_226 in a {child_age} year old {gender} child?,How long has the symptom_226 been present?; Has it worsened recently?,Diagnosis_226_A; Diagnosis_226_B,medium,"Standard care for symptom_226 includes hydration, rest, and observation.",What are the best treatment options for symptom_226?; When should a doctor be consulted for symptom_226?
symptom_227,What details can you share about symptom_227 in a {child_age} year old {gender} child?,How long has the symptom_227 been present?; Has it worsened recently?,Diagnosis_227_A; Diagnosis_227_B,medium,"Standard care for symptom_227 includes hydration, rest, and observation.",What are the best treatment options for symptom_227?; When should a doctor be consulted for symptom_227?
symptom_228,What details can you share about symptom_228 in a {child_age} year old {gender} child?,How long has the symptom_228 been present?; Has it worsened recently?,Diagnosis_228_A; Diagnosis_228_B,medium,"Standard care for symptom_228 includes hydration, rest, and observation.",What are the best treatment options for symptom_228?; When should a doctor be consulted for symptom_228?
symptom_229,What details can you share about symptom_229 in a {child_age} year old {gender} child?,How long has the symptom_229 been present?; Has it worsened recently?,Diagnosis_229_A; Diagnosis_229_B,medium,"Standard care for symptom_229 includes hydration, rest, and observation.",What are the best treatment options for symptom_229?; When should a doctor be consulted for symptom_229?
symptom_230,What details can you share about symptom_230 in a {child_age} year old {gender} child?,How long has the symptom_230 been present?; Has it worsened recently?,Diagnosis_230_A; Diagnosis_230_B,medium,"Standard care for symptom_230 includes hydration, rest, and observation.",What are the best treatment options for symptom_230?; When should a doctor be consulted for symptom_230?
symptom_231,What details can you share about symptom_231 in a {child_age} year old {gender} child?,How long has the symptom_231 been present?; Has it worsened recently?,Diagnosis_231_A; Diagnosis_231_B,medium,"Standard care for symptom_231 includes hydration, rest, and observation.",What are the best treatment options for symptom_231?; When should a doctor be consulted for symptom_231?
symptom_232,What details can you share about symptom_232 in a {child_age} year old {gender} child?,How long has the symptom_232 been present?; Has it worsened recently?,Diagnosis_232_A; Diagnosis_232_B,medium,"Standard care for symptom_232 includes hydration, rest, and observation.",What are the best treatment options for symptom_232?; When should a doctor be consulted for symptom_232?
symptom_233,What details can you share about symptom_233 in a {child_age} year old {gender} child?,How long has the symptom_233 been present?; Has it worsened recently?,Diagnosis_233_A; Diagnosis_233_B,medium,"Standard care for symptom_233 includes hydration, rest, and observation.",What are the best treatment options for symptom_233?; When should a doctor be consulted for symptom_233?
symptom_234,What details can you share about symptom_234 in a {child_age} year old {gender} child?,How long has the symptom_234 been present?; Has it worsened recently?,Diagnosis_234_A; Diagnosis_234_B,medium,"Standard care for symptom_234 includes hydration, rest, and observation.",What are the best treatment options for symptom_234?; When should a doctor be consulted for symptom_234?
symptom_235,What details can you share about symptom_235 in a {child_age} year old {gender} child?,How long has the symptom_235 been present?; Has it worsened recently?,Diagnosis_235_A; Diagnosis_235_B,medium,"Standard care for symptom_235 includes hydration, rest, and observation.",What are the best treatment options for symptom_235?; When should a doctor be consulted for symptom_235?
symptom_236,What details can you share about symptom_236 in a {child_age} year old {gender} child?,How long has the symptom_236 been present?; Has it worsened recently?,Diagnosis_236_A; Diagnosis_236_B,medium,"Standard care for symptom_236 includes hydration, rest, and observation.",What are the best treatment options for symptom_236?; When should a doctor be consulted for symptom_236?
symptom_237,What details can you share about symptom_237 in a {child_age} year old {gender} child?,How long has the symptom_237 been present?; Has it worsened recently?,Diagnosis_237_A; Diagnosis_237_B,medium,"Standard care for symptom_237 includes hydration, rest, and observation.",What are the best treatment options for symptom_237?; When should a doctor be consulted for symptom_237?
symptom_238,What details can you share about symptom_238 in a {child_age} year old {gender} child?,How long has the symptom_238 been present?; Has it worsened recently?,Diagnosis_238_A; Diagnosis_238_B,medium,"Standard care for symptom_238 includes hydration, rest, and observation.",What are the best treatment options for symptom_238?; When should a doctor be consulted for symptom_238?
symptom_239,What details can you share about symptom_239 in a {child_age} year old {gender} child?,How long has the symptom_239 been present?; Has it worsened recently?,Diagnosis_239_A; Diagnosis_239_B,medium,"Standard care for symptom_239 includes hydration, rest, and observation.",What are the best treatment options for symptom_239?; When should a doctor be consulted for symptom_239?
symptom_240,What details can you share about symptom_240 in a {child_age} year old {gender} child?,How long has the symptom_240 been present?; Has it worsened recently?,Diagnosis_240_A; Diagnosis_240_B,medium,"Standard care for symptom_240 includes hydration, rest, and observation.",What are the best treatment options for symptom_240?; When should a doctor be consulted for symptom_240?
symptom_241,What details can you share about symptom_241 in a {child_age} year old {gender} child?,How long has the symptom_241 been present?; Has it worsened recently?,Diagnosis_241_A; Diagnosis_241_B,medium,"Standard care for symptom_241 includes hydration, rest, and observation.",What are the best treatment options for symptom_241?; When should a doctor be consulted for symptom_241?
symptom_242,What details can you share about symptom_242 in a {child_age} year old {gender} child?,How long has the symptom_242 been present?; Has it worsened recently?,Diagnosis_242_A; Diagnosis_242_B,medium,"Standard care for symptom_242 includes hydration, rest, and observation.",What are the best treatment options for symptom_242?; When should a doctor be consulted for symptom_242?
symptom_243,What details can you share about symptom_243 in a {child_age} year old {gender} child?,How long has the symptom_243 been present?; Has it worsened recently?,Diagnosis_243_A; Diagnosis_243_B,medium,"Standard care for symptom_243 includes hydration, rest, and observation.",What are the best treatment options for symptom_243?; When should a doctor be consulted for symptom_243?
symptom_244,What details can you share about symptom_244 in a {child_age} year old {gender} child?,How long has the symptom_244 been present?; Has it worsened recently?,Diagnosis_244_A; Diagnosis_244_B,medium,"Standard care for symptom_244 includes hydration, rest, and observation.",What are the best treatment options for symptom_244?; When should a doctor be consulted for symptom_244?
symptom_245,What details can you share about symptom_245 in a {child_age} year old {gender} child?,How long has the symptom_245 been present?; Has it worsened recently?,Diagnosis_245_A; Diagnosis_245_B,medium,"Standard care for symptom_245 includes hydration, rest, and observation.",What are the best treatment options for symptom_245?; When should a doctor be consulted for symptom_245?
symptom_246,What details can you share about symptom_246 in a {child_age} year old {gender} child?,How long has the symptom_246 been present?; Has it worsened recently?,Diagnosis_246_A; Diagnosis_246_B,medium,"Standard care for symptom_246 includes hydration, rest, and observation.",What are the best treatment options for symptom_246?; When should a doctor be consulted for symptom_246?
symptom_247,What details can you share about symptom_247 in a {child_age} year old {gender} child?,How long has the symptom_247 been present?; Has it worsened recently?,Diagnosis_247_A; Diagnosis_247_B,medium,"Standard care for symptom_247 includes hydration, rest, and observation.",What are the best treatment options for symptom_247?; When should a doctor be consulted for symptom_247?
symptom_248,What details can you share about symptom_248 in a {child_age} year old {gender} child?,How long has the symptom_248 been present?; Has it worsened recently?,Diagnosis_248_A; Diagnosis_248_B,medium,"Standard care for symptom_248 includes hydration, rest, and observation.",What are the best treatment options for symptom_248?; When should a doctor be consulted for symptom_248?
symptom_249,What details can you share about symptom_249 in a {child_age} year old {gender} child?,How long has the symptom_249 been present?; Has it worsened recently?,Diagnosis_249_A; Diagnosis_249_B,medium,"Standard care for symptom_249 includes hydration, rest, and observation.",What are the best treatment options for symptom_249?; When should a doctor be consulted for symptom_249?
symptom_250,What details can you share about symptom_250 in a {child_age} year old {gender} child?,How long has the symptom_250 been present?; Has it worsened recently?,Diagnosis_250_A; Diagnosis_250_B,medium,"Standard care for symptom_250 includes hydration, rest, and observation.",What are the best treatment options for symptom_250?; When should a doctor be consulted for symptom_250?
symptom_251,What details can you share about symptom_251 in a {child_age} year old {gender} child?,How long has the symptom_251 been present?; Has it worsened recently?,Diagnosis_251_A; Diagnosis_251_B,medium,"Standard care for symptom_251 includes hydration, rest, and observation.",What are the best treatment options for symptom_251?; When should a doctor be consulted for symptom_251?
symptom_252,What details can you share about symptom_252 in a {child_age} year old {gender} child?,How long has the symptom_252 been present?; Has it worsened recently?,Diagnosis_252_A; Diagnosis_252_B,medium,"Standard care for symptom_252 includes hydration, rest, and observation.",What are the best treatment options for symptom_252?; When should a doctor be consulted for symptom_252?
symptom_253,What details can you share about symptom_253 in a {child_age} year old {gender} child?,How long has the symptom_253 been present?; Has it worsened recently?,Diagnosis_253_A; Diagnosis_253_B,medium,"Standard care for symptom_253 includes hydration, rest, and observation.",What are the best treatment options for symptom_253?; When should a doctor be consulted for symptom_253?
symptom_254,What details can you share about symptom_254 in a {child_age} year old {gender} child?,How long has the symptom_254 been present?; Has it worsened recently?,Diagnosis_254_A; Diagnosis_254_B,medium,"Standard care for symptom_254 includes hydration, rest, and observation.",What are the best treatment options for symptom_254?; When should a doctor be consulted for symptom_254?
symptom_255,What details can you share about symptom_255 in a {child_age} year old {gender} child?,How long has the symptom_255 been present?; Has it worsened recently?,Diagnosis_255_A; Diagnosis_255_B,medium,"Standard care for symptom_255 includes hydration, rest, and observation.",What are the best treatment options for symptom_255?; When should a doctor be consulted for symptom_255?
symptom_256,What details can you share about symptom_256 in a {child_age} year old {gender} child?,How long has the symptom_256 been present?; Has it worsened recently?,Diagnosis_256_A; Diagnosis_256_B,medium,"Standard care for symptom_256 includes hydration, rest, and observation.",What are the best treatment options for symptom_256?; When should a doctor be consulted for symptom_256?
symptom_257,What details can you share about symptom_257 in a {child_age} year old {gender} child?,How long has the symptom_257 been present?; Has it worsened recently?,Diagnosis_257_A; Diagnosis_257_B,medium,"Standard care for symptom_257 includes hydration, rest, and observation.",What are the best treatment options for symptom_257?; When should a doctor be consulted for symptom_257?
symptom_258,What details can you share about symptom_258 in a {child_age} year old {gender} child?,How long has the symptom_258 been present?; Has it worsened recently?,Diagnosis_258_A; Diagnosis_258_B,medium,"Standard care for symptom_258 includes hydration, rest, and observation.",What are the best treatment options for symptom_258?; When should a doctor be consulted for symptom_258?
symptom_259,What details can you share about symptom_259 in a {child_age} year old {gender} child?,How long has the symptom_259 been present?; Has it worsened recently?,Diagnosis_259_A; Diagnosis_259_B,medium,"Standard care for symptom_259 includes hydration, rest, and observation.",What are the best treatment options for symptom_259?; When should a doctor be consulted for symptom_259?
symptom_260,What details can you share about symptom_260 in a {child_age} year old {gender} child?,How long has the symptom_260 been present?; Has it worsened recently?,Diagnosis_260_A; Diagnosis_260_B,medium,"Standard care for symptom_260 includes hydration, rest, and observation.",What are the best treatment options for symptom_260?; When should a doctor be consulted for symptom_260?
symptom_261,What details can you share about symptom_261 in a {child_age} year old {gender} child?,How long has the symptom_261 been present?; Has it worsened recently?,Diagnosis_261_A; Diagnosis_261_B,medium,"Standard care for symptom_261 includes hydration, rest, and observation.",What are the best treatment options for symptom_261?; When should a doctor be consulted for symptom_261?
symptom_262,What details can you share about symptom_262 in a {child_age} year old {gender} child?,How long has the symptom_262 been present?; Has it worsened recently?,Diagnosis_262_A; Diagnosis_262_B,medium,"Standard care for symptom_262 includes hydration, rest, and observation.",What are the best treatment options for symptom_262?; When should a doctor be consulted for symptom_262?
symptom_263,What details can you share about symptom_263 in a {child_age} year old {gender} child?,How long has the symptom_263 been present?; Has it worsened recently?,Diagnosis_263_A; Diagnosis_263_B,medium,"Standard care for symptom_263 includes hydration, rest, and observation.",What are the best treatment options for symptom_263?; When should a doctor be consulted for symptom_263?
symptom_264,What details can you share about symptom_264 in a {child_age} year old {gender} child?,How long has the symptom_264 been present?; Has it worsened recently?,Diagnosis_264_A; Diagnosis_264_B,medium,"Standard care for symptom_264 includes hydration, rest, and observation.",What are the best treatment options for symptom_264?; When should a doctor be consulted for symptom_264?
symptom_265,What details can you share about symptom_265 in a {child_age} year old {gender} child?,How long has the symptom_265 been present?; Has it worsened recently?,Diagnosis_265_A; Diagnosis_265_B,medium,"Standard care for symptom_265 includes hydration, rest, and observation.",What are the best treatment options for symptom_265?; When should a doctor be consulted for symptom_265?
symptom_266,What details can you share about symptom_266 in a {child_age} year old {gender} child?,How long has the symptom_266 been present?; Has it worsened recently?,Diagnosis_266_A; Diagnosis_266_B,medium,"Standard care for symptom_266 includes hydration, rest, and observation.",What are the best treatment options for symptom_266?; When should a doctor be consulted for symptom_266?
symptom_267,What details can you share about symptom_267 in a {child_age} year old {gender} child?,How long has the symptom_267 been present?; Has it worsened recently?,Diagnosis_267_A; Diagnosis_267_B,medium,"Standard care for symptom_267 includes hydration, rest, and observation.",What are the best treatment options for symptom_267?; When should a doctor be consulted for symptom_267?
symptom_268,What details can you share about symptom_268 in a {child_age} year old {gender} child?,How long has the symptom_268 been present?; Has it worsened recently?,Diagnosis_268_A; Diagnosis_268_B,medium,"Standard care for symptom_268 includes hydration, rest, and observation.",What are the best treatment options for symptom_268?; When should a doctor be consulted for symptom_268?
symptom_269,What details can you share about symptom_269 in a {child_age} year old {gender} child?,How long has the symptom_269 been present?; Has it worsened recently?,Diagnosis_269_A; Diagnosis_269_B,medium,"Standard care for symptom_269 includes hydration, rest, and observation.",What are the best treatment options for symptom_269?; When should a doctor be consulted for symptom_269?
symptom_270,What details can you share about symptom_270 in a {child_age} year old {gender} child?,How long has the symptom_270 been present?; Has it worsened recently?,Diagnosis_270_A; Diagnosis_270_B,medium,"Standard care for symptom_270 includes hydration, rest, and observation.",What are the best treatment options for symptom_270?; When should a doctor be consulted for symptom_270?
symptom_271,What details can you share about symptom_271 in a {child_age} year old {gender} child?,How long has the symptom_271 been present?; Has it worsened recently?,Diagnosis_271_A; Diagnosis_271_B,medium,"Standard care for symptom_271 includes hydration, rest, and observation.",What are the best treatment options for symptom_271?; When should a doctor be consulted for symptom_271?
symptom_272,What details can you share about symptom_272 in a {child_age} year old {gender} child?,How long has the symptom_272 been present?; Has it worsened recently?,Diagnosis_272_A; Diagnosis_272_B,medium,"Standard care for symptom_272 includes hydration, rest, and observation.",What are the best treatment options for symptom_272?; When should a doctor be consulted for symptom_272?
symptom_273,What details can you share about symptom_273 in a {child_age} year old {gender} child?,How long has the symptom_273 been present?; Has it worsened recently?,Diagnosis_273_A; Diagnosis_273_B,medium,"Standard care for symptom_273 includes hydration, rest, and observation.",What are the best treatment options for symptom_273?; When should a doctor be consulted for symptom_273?
symptom_274,What details can you share about symptom_274 in a {child_age} year old {gender} child?,How long has the symptom_274 been present?; Has it worsened recently?,Diagnosis_274_A; Diagnosis_274_B,medium,"Standard care for symptom_274 includes hydration, rest, and observation.",What are the best treatment options for symptom_274?; When should a doctor be consulted for symptom_274?
symptom_275,What details can you share about symptom_275 in a {child_age} year old {gender} child?,How long has the symptom_275 been present?; Has it worsened recently?,Diagnosis_275_A; Diagnosis_275_B,medium,"Standard care for symptom_275 includes hydration, rest, and observation.",What are the best treatment options for symptom_275?; When should a doctor be consulted for symptom_275?
symptom_276,What details can you share about symptom_276 in a {child_age} year old {gender} child?,How long has the symptom_276 been present?; Has it worsened recently?,Diagnosis_276_A; Diagnosis_276_B,medium,"Standard care for symptom_276 includes hydration, rest, and observation.",What are the best treatment options for symptom_276?; When should a doctor be consulted for symptom_276?
symptom_277,What details can you share about symptom_277 in a {child_age} year old {gender} child?,How long has the symptom_277 been present?; Has it worsened recently?,Diagnosis_277_A; Diagnosis_277_B,medium,"Standard care for symptom_277 includes hydration, rest, and observation.",What are the best treatment options for symptom_277?; When should a doctor be consulted for symptom_277?
symptom_278,What details can you share about symptom_278 in a {child_age} year old {gender} child?,How long has the symptom_278 been present?; Has it worsened recently?,Diagnosis_278_A; Diagnosis_278_B,medium,"Standard care for symptom_278 includes hydration, rest, and observation.",What are the best treatment options for symptom_278?; When should a doctor be consulted for symptom_278?
symptom_279,What details can you share about symptom_279 in a {child_age} year old {gender} child?,How long has the symptom_279 been present?; Has it worsened recently?,Diagnosis_279_A; Diagnosis_279_B,medium,"Standard care for symptom_279 includes hydration, rest, and observation.",What are the best treatment options for symptom_279?; When should a doctor be consulted for symptom_279?
symptom_280,What details can you share about symptom_280 in a {child_age} year old {gender} child?,How long has the symptom_280 been present?; Has it worsened recently?,Diagnosis_280_A; Diagnosis_280_B,medium,"Standard care for symptom_280 includes hydration, rest, and observation.",What are the best treatment options for symptom_280?; When should a doctor be consulted for symptom_280?
symptom_281,What details can you share about symptom_281 in a {child_age} year old {gender} child?,How long has the symptom_281 been present?; Has it worsened recently?,Diagnosis_281_A; Diagnosis_281_B,medium,"Standard care for symptom_281 includes hydration, rest, and observation.",What are the best treatment options for symptom_281?; When should a doctor be consulted for symptom_281?
symptom_282,What details can you share about symptom_282 in a {child_age} year old {gender} child?,How long has the symptom_282 been present?; Has it worsened recently?,Diagnosis_282_A; Diagnosis_282_B,medium,"Standard care for symptom_282 includes hydration, rest, and observation.",What are the best treatment options for symptom_282?; When should a doctor be consulted for symptom_282?
