ID,Symptom,Age Group,Diagnoses,Medications,Home Care,Red Flags
symptom_205,nasal congestion,1-3 years,viral infection,,increase fluid intake; warm saltwater gargle,loss of consciousness; difficulty breathing
symptom_206,ear pain,0-3 months,allergic reaction; gastroenteritis,Oral Rehydration Solution; Hydrocortisone cream,warm saltwater gargle,difficulty breathing; loss of consciousness; lethargy
symptom_207,abdominal pain,7-12 years,tonsillitis; appendicitis,,cool compresses; increase fluid intake,stiff neck
symptom_208,rash,4-12 months,meningitis; allergic reaction,,frequent handwashing; cool compresses,severe pain; stiff neck; projectile vomiting
symptom_209,ear pain,7-12 years,allergic reaction; sinusitis,Acetaminophen; Azithromycin,frequent handwashing,persistent high fever; seizures; no urine output >8h
symptom_210,nasal congestion,4-12 months,otitis media; dehydration,Cetirizine; Albuterol inhaler,rest,stiff neck; difficulty breathing
symptom_211,weight loss,13-18 years,appendicitis; covid-19,,cool compresses,difficulty breathing
symptom_212,urinary pain,4-6 years,sinusitis; meningitis,Acetaminophen; Hydrocortisone cream,cool compresses; avoid allergens,persistent high fever; loss of consciousness
symptom_213,eye discharge,0-3 months,bronchiolitis; appendicitis,Oral Rehydration Solution; Hydrocortisone cream; Ondansetron,increase fluid intake,severe pain; rash with fever; persistent high fever
symptom_214,urinary pain,13-18 years,viral infection,Azithromycin,humidifier; apply moisturizer,rash with fever; persistent high fever
symptom_215,sleep disturbance,4-6 years,otitis media; bronchiolitis,Ondansetron,warm saltwater gargle; apply moisturizer,loss of consciousness
symptom_216,shortness of breath,13-18 years,allergic reaction,Acetaminophen; Albuterol inhaler,avoid allergens,stiff neck
symptom_217,joint pain,13-18 years,eczema; meningitis,,apply moisturizer; cool compresses,loss of consciousness
symptom_218,chest pain,7-12 years,migraine; allergic reaction,Oral Rehydration Solution,increase fluid intake; warm saltwater gargle; frequent handwashing,severe pain; projectile vomiting
symptom_219,chest pain,7-12 years,UTI; otitis media; functional abdominal pain,Acetaminophen,warm saltwater gargle; increase fluid intake,rash with fever; stiff neck
symptom_220,shortness of breath,7-12 years,migraine,Ibuprofen; Oral Rehydration Solution,rest; avoid allergens; frequent handwashing,projectile vomiting; loss of consciousness
symptom_221,vomiting,7-12 years,UTI,Prednisone,warm saltwater gargle; frequent handwashing; avoid allergens,loss of consciousness; severe pain; lethargy
symptom_222,constipation,7-12 years,appendicitis,Oral Rehydration Solution,rest; increase fluid intake; cool compresses,seizures
symptom_223,urinary pain,1-3 years,viral infection,Oral Rehydration Solution; Cetirizine; Amoxicillin,avoid allergens; cool compresses,loss of consciousness; severe pain; difficulty breathing
symptom_224,chest pain,7-12 years,strep throat,Prednisone,rest; apply moisturizer,difficulty breathing; severe pain
symptom_225,night sweats,0-3 months,asthma,Cetirizine; Ibuprofen,increase fluid intake; rest; avoid allergens,persistent high fever; lethargy; no urine output >8h
symptom_226,vomiting,4-6 years,strep throat; tonsillitis,Albuterol inhaler,warm saltwater gargle; rest,loss of consciousness; severe pain; rash with fever
symptom_227,loss of appetite,4-12 months,eczema; strep throat; viral infection,Ibuprofen; Hydrocortisone cream; Albuterol inhaler,increase fluid intake; light clothing,persistent high fever
symptom_228,chest pain,13-18 years,asthma; UTI; otitis media,Ibuprofen; Cetirizine; Azithromycin,apply moisturizer,severe pain; lethargy; difficulty breathing
symptom_229,constipation,4-6 years,gastroenteritis,Cetirizine; Ondansetron,warm saltwater gargle; apply moisturizer,rash with fever
symptom_230,nasal congestion,4-12 months,functional abdominal pain,Hydrocortisone cream; Albuterol inhaler,light clothing; frequent handwashing,no urine output >8h; loss of consciousness; lethargy
symptom_231,diarrhea,4-12 months,bacterial infection; flu,Acetaminophen; Hydrocortisone cream,warm saltwater gargle; apply moisturizer; frequent handwashing,severe pain; lethargy
symptom_232,urinary pain,13-18 years,tonsillitis; dehydration,Oral Rehydration Solution,warm saltwater gargle,difficulty breathing; no urine output >8h; loss of consciousness
symptom_233,eye discharge,1-3 years,viral infection; covid-19; bronchiolitis,Cetirizine; Azithromycin,apply moisturizer; avoid allergens,loss of consciousness; stiff neck
symptom_234,cough,4-6 years,sinusitis; tonsillitis; otitis media,Amoxicillin,humidifier; cool compresses,projectile vomiting; loss of consciousness
symptom_235,weight loss,0-3 months,allergic reaction; migraine,Oral Rehydration Solution; Cetirizine; Azithromycin,rest; avoid allergens,projectile vomiting; severe pain
symptom_236,wheezing,1-3 years,pneumonia,,cool compresses,no urine output >8h; projectile vomiting
symptom_237,joint pain,4-6 years,UTI; dehydration,Cetirizine; Amoxicillin,increase fluid intake,seizures; persistent high fever
symptom_238,limping,13-18 years,bronchiolitis; appendicitis; allergic reaction,Acetaminophen; Cetirizine,humidifier; rest,loss of consciousness; rash with fever
symptom_239,fever,4-6 years,asthma; meningitis; UTI,Cetirizine,avoid allergens,persistent high fever
symptom_240,weight loss,1-3 years,bronchiolitis; UTI; pneumonia,Hydrocortisone cream,warm saltwater gargle; cool compresses,lethargy; seizures
symptom_241,wheezing,7-12 years,migraine,Cetirizine; Ondansetron,cool compresses; increase fluid intake,lethargy
symptom_242,diarrhea,1-3 years,migraine; eczema; bacterial infection,Acetaminophen; Ibuprofen,frequent handwashing; apply moisturizer,no urine output >8h
symptom_243,eye discharge,1-3 years,otitis media,,increase fluid intake; warm saltwater gargle; apply moisturizer,difficulty breathing; rash with fever
symptom_244,abdominal pain,4-6 years,otitis media; appendicitis,Hydrocortisone cream,humidifier; apply moisturizer; cool compresses,no urine output >8h; difficulty breathing
symptom_245,limping,7-12 years,gastroenteritis; asthma,Oral Rehydration Solution,rest,difficulty breathing
symptom_246,joint pain,4-12 months,meningitis,Oral Rehydration Solution; Amoxicillin,rest,difficulty breathing; rash with fever
symptom_247,fatigue,4-6 years,sinusitis,Ibuprofen; Oral Rehydration Solution; Ondansetron,cool compresses; humidifier,severe pain; stiff neck; no urine output >8h
symptom_248,headache,13-18 years,allergic reaction; functional abdominal pain,Prednisone,light clothing; apply moisturizer,seizures
symptom_249,vomiting,13-18 years,meningitis,Acetaminophen; Oral Rehydration Solution,increase fluid intake,projectile vomiting
symptom_250,difficulty swallowing,0-3 months,tonsillitis,Cetirizine; Prednisone,frequent handwashing; increase fluid intake; light clothing,persistent high fever; rash with fever
symptom_251,urinary pain,7-12 years,asthma,Amoxicillin,apply moisturizer,difficulty breathing; projectile vomiting; rash with fever
symptom_252,cough,13-18 years,strep throat; eczema,Oral Rehydration Solution,avoid allergens; warm saltwater gargle,stiff neck; rash with fever; seizures
symptom_253,constipation,4-6 years,covid-19; meningitis; migraine,Oral Rehydration Solution; Prednisone,light clothing; avoid allergens; apply moisturizer,difficulty breathing; rash with fever
symptom_254,weight loss,7-12 years,covid-19,Albuterol inhaler,light clothing; warm saltwater gargle; cool compresses,persistent high fever; no urine output >8h; seizures
symptom_255,difficulty swallowing,7-12 years,tonsillitis,Cetirizine; Acetaminophen,frequent handwashing,seizures
symptom_256,vomiting,1-3 years,bronchiolitis; tonsillitis; meningitis,Oral Rehydration Solution; Acetaminophen; Albuterol inhaler,humidifier; rest; avoid allergens,projectile vomiting
symptom_257,constipation,0-3 months,flu,,warm saltwater gargle,loss of consciousness; seizures; projectile vomiting
symptom_258,sore throat,7-12 years,bronchiolitis,Prednisone,light clothing,severe pain
symptom_259,fever,0-3 months,strep throat,Cetirizine; Ondansetron,warm saltwater gargle; frequent handwashing,projectile vomiting; seizures; difficulty breathing
symptom_260,ear pain,7-12 years,dehydration,Acetaminophen,apply moisturizer,loss of consciousness; rash with fever
symptom_261,seizures,4-12 months,otitis media; sinusitis; meningitis,Cetirizine; Oral Rehydration Solution; Prednisone,avoid allergens,no urine output >8h; lethargy
symptom_262,fever,7-12 years,asthma; functional abdominal pain,Cetirizine,increase fluid intake; light clothing; rest,projectile vomiting; difficulty breathing
symptom_263,sleep disturbance,7-12 years,bacterial infection; asthma; flu,Cetirizine; Ondansetron,increase fluid intake; rest; warm saltwater gargle,seizures; stiff neck; lethargy
symptom_264,cough,13-18 years,asthma; migraine,Acetaminophen; Ondansetron,apply moisturizer,loss of consciousness; lethargy; stiff neck
symptom_265,weight loss,4-6 years,covid-19; bronchiolitis; tonsillitis,Ibuprofen; Amoxicillin,avoid allergens,seizures; persistent high fever
symptom_266,fever,4-12 months,covid-19,,warm saltwater gargle; apply moisturizer; frequent handwashing,seizures
symptom_267,cough,13-18 years,migraine; allergic reaction,,apply moisturizer; cool compresses,no urine output >8h
symptom_268,sore throat,0-3 months,viral infection,Cetirizine; Oral Rehydration Solution,frequent handwashing; increase fluid intake; humidifier,no urine output >8h
symptom_269,seizures,0-3 months,covid-19; otitis media; tonsillitis,Ondansetron,frequent handwashing; cool compresses; apply moisturizer,difficulty breathing; persistent high fever; loss of consciousness
symptom_270,cough,7-12 years,bacterial infection; sinusitis; otitis media,Acetaminophen; Prednisone,frequent handwashing; rest,persistent high fever; stiff neck; loss of consciousness
symptom_271,shortness of breath,13-18 years,strep throat; migraine; tonsillitis,Acetaminophen; Albuterol inhaler,avoid allergens; light clothing; humidifier,no urine output >8h
symptom_272,sleep disturbance,1-3 years,bronchiolitis; bacterial infection,,humidifier; cool compresses,persistent high fever; projectile vomiting
symptom_273,eye discharge,4-6 years,bronchiolitis; UTI; allergic reaction,Cetirizine; Amoxicillin,increase fluid intake; warm saltwater gargle; rest,projectile vomiting; severe pain; loss of consciousness
symptom_274,joint pain,13-18 years,UTI; gastroenteritis; appendicitis,Amoxicillin,apply moisturizer; cool compresses; warm saltwater gargle,persistent high fever
symptom_275,sore throat,4-6 years,dehydration; appendicitis,Cetirizine; Prednisone,warm saltwater gargle; humidifier; light clothing,difficulty breathing
symptom_276,fever,7-12 years,flu,Amoxicillin,light clothing,persistent high fever; severe pain
symptom_277,chest pain,1-3 years,functional abdominal pain; eczema; allergic reaction,Acetaminophen; Cetirizine,frequent handwashing; increase fluid intake; light clothing,projectile vomiting; stiff neck; difficulty breathing
symptom_278,nasal congestion,4-6 years,asthma; flu,Cetirizine; Hydrocortisone cream,avoid allergens; frequent handwashing; humidifier,loss of consciousness; persistent high fever
symptom_279,joint pain,7-12 years,pneumonia,Azithromycin,humidifier; frequent handwashing,lethargy; persistent high fever; severe pain
symptom_280,wheezing,7-12 years,dehydration; asthma; bronchiolitis,,cool compresses,lethargy; projectile vomiting; difficulty breathing
symptom_281,nasal congestion,4-6 years,asthma,,avoid allergens; humidifier; increase fluid intake,rash with fever; stiff neck; no urine output >8h
symptom_282,nasal congestion,7-12 years,strep throat,Albuterol inhaler,humidifier; avoid allergens; warm saltwater gargle,lethargy; difficulty breathing
symptom_283,shortness of breath,1-3 years,viral infection; tonsillitis,Albuterol inhaler,humidifier; avoid allergens; warm saltwater gargle,difficulty breathing
symptom_284,sore throat,13-18 years,bacterial infection; meningitis,Ibuprofen; Ondansetron,light clothing,stiff neck; loss of consciousness; projectile vomiting
symptom_285,difficulty swallowing,1-3 years,eczema; tonsillitis; dehydration,Azithromycin,warm saltwater gargle; increase fluid intake,severe pain
symptom_286,loss of appetite,4-6 years,asthma,Hydrocortisone cream; Cetirizine,rest; avoid allergens,rash with fever; projectile vomiting
symptom_287,seizures,4-6 years,pneumonia,Ibuprofen; Acetaminophen,cool compresses; warm saltwater gargle,no urine output >8h
symptom_288,chest pain,1-3 years,pneumonia; viral infection; appendicitis,Cetirizine,light clothing; warm saltwater gargle,persistent high fever; stiff neck; no urine output >8h
symptom_289,urinary pain,1-3 years,bronchiolitis; appendicitis,Acetaminophen,cool compresses,lethargy
symptom_290,eye discharge,4-12 months,eczema; dehydration,Prednisone,rest; cool compresses,persistent high fever
symptom_291,abdominal pain,4-6 years,sinusitis; bronchiolitis,Acetaminophen; Azithromycin,warm saltwater gargle; rest; apply moisturizer,rash with fever; difficulty breathing
symptom_292,fever,1-3 years,migraine; eczema; covid-19,Albuterol inhaler,increase fluid intake; light clothing,projectile vomiting
symptom_293,rash,7-12 years,UTI; bacterial infection,Oral Rehydration Solution,apply moisturizer,rash with fever; stiff neck; no urine output >8h
symptom_294,eye discharge,1-3 years,pneumonia,Oral Rehydration Solution; Prednisone,light clothing; humidifier,stiff neck; difficulty breathing; lethargy
symptom_295,ear pain,7-12 years,covid-19; tonsillitis,,humidifier; frequent handwashing; rest,stiff neck
symptom_296,diarrhea,4-6 years,covid-19,Prednisone,light clothing; frequent handwashing; warm saltwater gargle,rash with fever
symptom_297,fever,1-3 years,bronchiolitis,Azithromycin,apply moisturizer; increase fluid intake; warm saltwater gargle,lethargy
symptom_298,diarrhea,4-6 years,pneumonia; covid-19; sinusitis,Ibuprofen; Albuterol inhaler,frequent handwashing,seizures
symptom_299,sleep disturbance,1-3 years,meningitis; appendicitis,Ibuprofen; Albuterol inhaler,warm saltwater gargle,severe pain
symptom_300,constipation,1-3 years,migraine,Oral Rehydration Solution; Amoxicillin,frequent handwashing,seizures
symptom_301,sore throat,0-3 months,functional abdominal pain; strep throat,Amoxicillin,cool compresses; apply moisturizer,seizures; stiff neck; severe pain
symptom_302,difficulty swallowing,0-3 months,pneumonia; functional abdominal pain,Oral Rehydration Solution; Cetirizine; Prednisone,increase fluid intake; apply moisturizer,difficulty breathing; stiff neck
symptom_303,fever,7-12 years,allergic reaction; dehydration,Cetirizine,warm saltwater gargle; frequent handwashing,rash with fever; lethargy; difficulty breathing
symptom_304,abdominal pain,7-12 years,UTI; eczema,Hydrocortisone cream; Ibuprofen,increase fluid intake; rest; apply moisturizer,severe pain
symptom_305,sleep disturbance,13-18 years,allergic reaction; eczema; appendicitis,Acetaminophen; Albuterol inhaler,rest; humidifier,projectile vomiting
symptom_306,difficulty swallowing,0-3 months,eczema; tonsillitis; appendicitis,,rest; apply moisturizer; frequent handwashing,lethargy; rash with fever
symptom_307,night sweats,13-18 years,migraine,Hydrocortisone cream,warm saltwater gargle,severe pain
symptom_308,wheezing,0-3 months,covid-19,Acetaminophen; Ondansetron,cool compresses,loss of consciousness; stiff neck; persistent high fever
symptom_309,fatigue,0-3 months,otitis media,Albuterol inhaler,humidifier,difficulty breathing
symptom_310,ear pain,4-6 years,bronchiolitis,Ondansetron,apply moisturizer; frequent handwashing; cool compresses,persistent high fever; difficulty breathing
symptom_311,seizures,13-18 years,asthma,Cetirizine; Oral Rehydration Solution,rest,stiff neck; difficulty breathing; persistent high fever
symptom_312,rash,4-6 years,eczema; functional abdominal pain; sinusitis,,apply moisturizer,no urine output >8h; persistent high fever; difficulty breathing
symptom_313,seizures,4-12 months,bacterial infection; asthma; meningitis,Cetirizine; Oral Rehydration Solution,avoid allergens; rest,rash with fever; loss of consciousness; stiff neck
symptom_314,diarrhea,7-12 years,meningitis; UTI; sinusitis,Oral Rehydration Solution; Ondansetron,apply moisturizer; avoid allergens; frequent handwashing,projectile vomiting
symptom_315,constipation,0-3 months,strep throat; bacterial infection; allergic reaction,,cool compresses; increase fluid intake,projectile vomiting
symptom_316,sore throat,4-12 months,otitis media; allergic reaction,Amoxicillin,frequent handwashing,projectile vomiting
symptom_317,difficulty swallowing,7-12 years,appendicitis; pneumonia,Ibuprofen; Azithromycin,light clothing,projectile vomiting; rash with fever; lethargy
symptom_318,rash,1-3 years,sinusitis,Ibuprofen,warm saltwater gargle; rest; avoid allergens,projectile vomiting; stiff neck
symptom_319,joint pain,13-18 years,bronchiolitis; meningitis; sinusitis,Oral Rehydration Solution,rest; warm saltwater gargle; increase fluid intake,projectile vomiting; stiff neck; seizures
symptom_320,fever,1-3 years,bacterial infection; meningitis,,rest; avoid allergens,loss of consciousness; no urine output >8h; severe pain
symptom_321,cough,1-3 years,dehydration; meningitis,Hydrocortisone cream; Acetaminophen,apply moisturizer; humidifier; warm saltwater gargle,seizures; rash with fever; projectile vomiting
symptom_322,constipation,1-3 years,flu,,cool compresses; humidifier,lethargy
symptom_323,sleep disturbance,4-6 years,functional abdominal pain; bacterial infection; allergic reaction,Cetirizine; Acetaminophen; Ondansetron,cool compresses; frequent handwashing; rest,severe pain
symptom_324,loss of appetite,13-18 years,migraine; pneumonia,,humidifier,severe pain; projectile vomiting; persistent high fever
symptom_325,sleep disturbance,13-18 years,sinusitis; functional abdominal pain; meningitis,Cetirizine; Hydrocortisone cream; Azithromycin,frequent handwashing; apply moisturizer,seizures
symptom_326,difficulty swallowing,0-3 months,covid-19,Azithromycin,increase fluid intake; warm saltwater gargle,loss of consciousness
symptom_327,headache,4-6 years,appendicitis; viral infection,Hydrocortisone cream; Prednisone,apply moisturizer,seizures; severe pain
symptom_328,ear pain,7-12 years,flu,Acetaminophen; Oral Rehydration Solution; Albuterol inhaler,humidifier; frequent handwashing; apply moisturizer,stiff neck; persistent high fever
symptom_329,chest pain,4-6 years,tonsillitis; UTI; sinusitis,Ibuprofen; Acetaminophen,humidifier; warm saltwater gargle,projectile vomiting; persistent high fever; severe pain
symptom_330,diarrhea,4-12 months,strep throat,Hydrocortisone cream,avoid allergens; light clothing; humidifier,projectile vomiting; loss of consciousness
symptom_331,chest pain,0-3 months,eczema,Hydrocortisone cream; Cetirizine; Ondansetron,cool compresses; increase fluid intake; avoid allergens,no urine output >8h; persistent high fever
symptom_332,difficulty swallowing,4-12 months,dehydration,Prednisone,humidifier; rest,lethargy; seizures; severe pain
symptom_333,shortness of breath,1-3 years,bacterial infection; allergic reaction; migraine,Oral Rehydration Solution; Cetirizine,humidifier,loss of consciousness
symptom_334,sleep disturbance,4-12 months,otitis media; strep throat,Acetaminophen; Cetirizine,increase fluid intake; warm saltwater gargle,severe pain; lethargy; stiff neck
symptom_335,loss of appetite,4-6 years,tonsillitis; dehydration; gastroenteritis,Azithromycin,humidifier; warm saltwater gargle,projectile vomiting
symptom_336,diarrhea,1-3 years,appendicitis; sinusitis,Hydrocortisone cream; Prednisone,light clothing,seizures
symptom_337,eye discharge,4-6 years,appendicitis; asthma; functional abdominal pain,Prednisone,warm saltwater gargle; humidifier; light clothing,lethargy; seizures; stiff neck
symptom_338,rash,13-18 years,bacterial infection; gastroenteritis,Hydrocortisone cream,rest; warm saltwater gargle,rash with fever; loss of consciousness
symptom_339,difficulty swallowing,1-3 years,gastroenteritis; meningitis; bacterial infection,Ibuprofen; Ondansetron,frequent handwashing,seizures; loss of consciousness; projectile vomiting
symptom_340,eye discharge,13-18 years,covid-19,Ondansetron,rest; increase fluid intake,lethargy; difficulty breathing; severe pain
symptom_341,wheezing,13-18 years,bronchiolitis,Prednisone,warm saltwater gargle; increase fluid intake,stiff neck
symptom_342,limping,1-3 years,otitis media; bacterial infection,,light clothing,rash with fever; stiff neck
symptom_343,fever,4-12 months,asthma; meningitis; gastroenteritis,Ibuprofen; Cetirizine; Amoxicillin,apply moisturizer; light clothing; increase fluid intake,projectile vomiting
symptom_344,weight loss,1-3 years,strep throat; migraine,Ibuprofen,light clothing; rest,projectile vomiting; persistent high fever; stiff neck
symptom_345,headache,13-18 years,eczema,Oral Rehydration Solution; Prednisone,light clothing,stiff neck
symptom_346,sore throat,7-12 years,pneumonia,Acetaminophen,increase fluid intake,rash with fever; lethargy; no urine output >8h
symptom_347,loss of appetite,13-18 years,functional abdominal pain; UTI,Oral Rehydration Solution,frequent handwashing,loss of consciousness; seizures; difficulty breathing
symptom_348,nasal congestion,7-12 years,gastroenteritis,Ibuprofen,humidifier,difficulty breathing
symptom_349,sore throat,13-18 years,pneumonia; allergic reaction,Ibuprofen; Cetirizine; Amoxicillin,avoid allergens; apply moisturizer,rash with fever; lethargy
symptom_350,headache,1-3 years,dehydration; meningitis; flu,Albuterol inhaler,warm saltwater gargle; rest; light clothing,no urine output >8h; stiff neck
symptom_351,constipation,1-3 years,functional abdominal pain; meningitis,,avoid allergens,loss of consciousness
symptom_352,urinary pain,1-3 years,dehydration; allergic reaction,Ibuprofen,humidifier; warm saltwater gargle; increase fluid intake,loss of consciousness; persistent high fever
symptom_353,weight loss,1-3 years,viral infection,Cetirizine; Azithromycin,warm saltwater gargle; rest; frequent handwashing,stiff neck; loss of consciousness
symptom_354,rash,7-12 years,tonsillitis,Cetirizine; Ibuprofen,frequent handwashing; rest,no urine output >8h; rash with fever
symptom_355,abdominal pain,13-18 years,appendicitis,Ibuprofen,light clothing,loss of consciousness; projectile vomiting; no urine output >8h
symptom_356,wheezing,7-12 years,strep throat; eczema; gastroenteritis,Hydrocortisone cream; Ibuprofen,humidifier; cool compresses,no urine output >8h; severe pain
symptom_357,joint pain,0-3 months,otitis media; functional abdominal pain; meningitis,Cetirizine; Azithromycin,increase fluid intake; avoid allergens; frequent handwashing,stiff neck; projectile vomiting
symptom_358,weight loss,4-12 months,meningitis; viral infection; tonsillitis,Acetaminophen; Hydrocortisone cream; Albuterol inhaler,rest; cool compresses; frequent handwashing,projectile vomiting; no urine output >8h
symptom_359,vomiting,4-12 months,bacterial infection; bronchiolitis; dehydration,Ibuprofen; Cetirizine,apply moisturizer; cool compresses; warm saltwater gargle,persistent high fever
symptom_360,fever,0-3 months,eczema; appendicitis; flu,Oral Rehydration Solution; Cetirizine,humidifier,persistent high fever; severe pain
symptom_361,urinary pain,0-3 months,gastroenteritis; covid-19,,rest; increase fluid intake; apply moisturizer,rash with fever; severe pain
symptom_362,headache,13-18 years,strep throat,Cetirizine; Acetaminophen,avoid allergens; rest; increase fluid intake,no urine output >8h; seizures
symptom_363,cough,4-12 months,dehydration; flu,Cetirizine,cool compresses,loss of consciousness
symptom_364,diarrhea,0-3 months,bronchiolitis; viral infection; appendicitis,Acetaminophen,apply moisturizer,no urine output >8h
symptom_365,vomiting,7-12 years,sinusitis; otitis media,Hydrocortisone cream; Cetirizine; Prednisone,cool compresses; increase fluid intake; humidifier,difficulty breathing; stiff neck; no urine output >8h
symptom_366,chest pain,0-3 months,migraine,Acetaminophen,increase fluid intake; humidifier; cool compresses,projectile vomiting; lethargy; no urine output >8h
symptom_367,joint pain,4-12 months,allergic reaction; appendicitis; sinusitis,Cetirizine,warm saltwater gargle,seizures; loss of consciousness; severe pain
symptom_368,cough,0-3 months,gastroenteritis; pneumonia,Hydrocortisone cream,frequent handwashing; humidifier,projectile vomiting; lethargy; severe pain
symptom_369,sore throat,0-3 months,appendicitis; flu,,apply moisturizer; light clothing; increase fluid intake,severe pain; lethargy
symptom_370,headache,13-18 years,allergic reaction,Ibuprofen; Cetirizine; Ondansetron,light clothing,stiff neck; lethargy; difficulty breathing
symptom_371,loss of appetite,0-3 months,meningitis; otitis media,Hydrocortisone cream; Azithromycin,humidifier; frequent handwashing,no urine output >8h; rash with fever
symptom_372,sore throat,7-12 years,bacterial infection; allergic reaction; eczema,Hydrocortisone cream; Prednisone,rest; humidifier,no urine output >8h; seizures
symptom_373,vomiting,0-3 months,sinusitis,Cetirizine; Acetaminophen,humidifier; light clothing; frequent handwashing,stiff neck; loss of consciousness
symptom_374,joint pain,1-3 years,sinusitis; functional abdominal pain; covid-19,Prednisone,rest; humidifier,persistent high fever; lethargy; projectile vomiting
symptom_375,diarrhea,4-6 years,UTI; bacterial infection; covid-19,Hydrocortisone cream,humidifier; rest; warm saltwater gargle,persistent high fever; loss of consciousness
symptom_376,weight loss,13-18 years,bronchiolitis; pneumonia; migraine,Cetirizine,avoid allergens,loss of consciousness; no urine output >8h
symptom_377,wheezing,7-12 years,tonsillitis; appendicitis,Acetaminophen; Ibuprofen,rest,lethargy; loss of consciousness
symptom_378,abdominal pain,7-12 years,migraine; meningitis; tonsillitis,Acetaminophen; Azithromycin,apply moisturizer; increase fluid intake; warm saltwater gargle,loss of consciousness; rash with fever; seizures
symptom_379,sore throat,4-6 years,appendicitis,Ibuprofen; Acetaminophen,cool compresses; warm saltwater gargle; humidifier,difficulty breathing; stiff neck
symptom_380,eye discharge,13-18 years,bronchiolitis; otitis media; strep throat,,increase fluid intake; humidifier,rash with fever
symptom_381,night sweats,13-18 years,dehydration,Oral Rehydration Solution; Ibuprofen,frequent handwashing; cool compresses,rash with fever; lethargy
symptom_382,rash,0-3 months,dehydration,Oral Rehydration Solution; Acetaminophen,increase fluid intake; avoid allergens; warm saltwater gargle,stiff neck
symptom_383,urinary pain,0-3 months,otitis media; asthma,Oral Rehydration Solution; Ondansetron,apply moisturizer; rest; cool compresses,no urine output >8h; stiff neck; loss of consciousness
symptom_384,limping,13-18 years,viral infection; tonsillitis; covid-19,Ibuprofen; Hydrocortisone cream; Albuterol inhaler,rest; apply moisturizer,lethargy; seizures
symptom_385,limping,4-12 months,meningitis; eczema; allergic reaction,Ibuprofen; Acetaminophen,avoid allergens; increase fluid intake,persistent high fever
symptom_386,rash,4-12 months,covid-19; sinusitis,Amoxicillin,warm saltwater gargle; avoid allergens,lethargy; seizures; no urine output >8h
symptom_387,chest pain,4-6 years,UTI; meningitis,Hydrocortisone cream,avoid allergens,no urine output >8h
symptom_388,chest pain,4-12 months,tonsillitis,Hydrocortisone cream; Ondansetron,warm saltwater gargle; avoid allergens; increase fluid intake,projectile vomiting; rash with fever
symptom_389,limping,4-12 months,functional abdominal pain; eczema,,frequent handwashing; apply moisturizer; increase fluid intake,persistent high fever; severe pain; rash with fever
symptom_390,cough,7-12 years,bacterial infection; strep throat,Hydrocortisone cream,rest; humidifier; apply moisturizer,seizures; lethargy
symptom_391,fever,4-6 years,dehydration; bronchiolitis; meningitis,,apply moisturizer,persistent high fever; stiff neck; lethargy
symptom_392,weight loss,1-3 years,migraine; tonsillitis; UTI,Albuterol inhaler,frequent handwashing; apply moisturizer,difficulty breathing; stiff neck
symptom_393,headache,7-12 years,pneumonia; UTI; tonsillitis,Amoxicillin,warm saltwater gargle; humidifier; avoid allergens,difficulty breathing; loss of consciousness; rash with fever
symptom_394,cough,13-18 years,viral infection; otitis media; sinusitis,Oral Rehydration Solution,rest; avoid allergens; humidifier,no urine output >8h; stiff neck; seizures
symptom_395,wheezing,4-12 months,allergic reaction,Cetirizine; Amoxicillin,light clothing,severe pain; lethargy; stiff neck
symptom_396,sore throat,4-12 months,viral infection,Ibuprofen; Acetaminophen; Azithromycin,humidifier,seizures; severe pain
symptom_397,fever,4-6 years,appendicitis; viral infection; gastroenteritis,Cetirizine; Acetaminophen,rest,persistent high fever; difficulty breathing; seizures
symptom_398,ear pain,4-12 months,gastroenteritis; flu,Oral Rehydration Solution,frequent handwashing; cool compresses,projectile vomiting; severe pain; stiff neck
symptom_399,night sweats,0-3 months,UTI,Oral Rehydration Solution,cool compresses; increase fluid intake,projectile vomiting
symptom_400,seizures,4-6 years,bronchiolitis; viral infection,,increase fluid intake,no urine output >8h
symptom_401,chest pain,4-6 years,tonsillitis; strep throat; asthma,Acetaminophen,warm saltwater gargle,persistent high fever; projectile vomiting; severe pain
symptom_402,limping,1-3 years,flu; bronchiolitis; strep throat,Cetirizine,rest; light clothing; warm saltwater gargle,difficulty breathing
symptom_403,night sweats,13-18 years,bacterial infection; flu,Acetaminophen,rest,stiff neck; no urine output >8h
symptom_404,seizures,0-3 months,UTI,Acetaminophen; Oral Rehydration Solution,apply moisturizer; frequent handwashing; light clothing,lethargy; difficulty breathing; severe pain
symptom_405,weight loss,4-6 years,pneumonia,,humidifier,persistent high fever
symptom_406,loss of appetite,0-3 months,covid-19; appendicitis; bronchiolitis,Acetaminophen; Oral Rehydration Solution; Azithromycin,humidifier; increase fluid intake,severe pain
symptom_407,nasal congestion,13-18 years,bronchiolitis,Albuterol inhaler,avoid allergens; light clothing; humidifier,rash with fever
symptom_408,difficulty swallowing,4-6 years,tonsillitis; UTI; asthma,Hydrocortisone cream; Albuterol inhaler,rest,rash with fever; projectile vomiting; loss of consciousness
symptom_409,urinary pain,0-3 months,gastroenteritis,Hydrocortisone cream; Acetaminophen; Albuterol inhaler,increase fluid intake,lethargy; seizures
symptom_410,nasal congestion,13-18 years,viral infection; dehydration; functional abdominal pain,,humidifier; warm saltwater gargle,seizures; rash with fever
